InstanceType,memory_gb,vcpu,network
g5.16xlarge,256.0,64,25 Gigabit
trn1.2xlarge,32.0,8,12500 Megabit
g5g.4xlarge,32.0,16,Up to 10 Gigabit
is4gen.4xlarge,96.0,16,25 Gigabit
is4gen.8xlarge,192.0,32,50 Gigabit
c7g.8xlarge,64.0,32,15 Gigabit
c1.medium,1.7,2,Moderate
x2gd.medium,16.0,1,Up to 10 Gigabit
g4ad.16xlarge,256.0,64,25 Gigabit
g4ad.2xlarge,32.0,8,Up to 10 Gigabit
im4gn.16xlarge,256.0,64,100 Gigabit
d3en.4xlarge,64.0,16,25 Gigabit
m2.xlarge,17.1,2,Moderate
x2gd.large,32.0,2,Up to 10 Gigabit
is4gen.large,12.0,2,Up to 25 Gigabit
i3p.16xlarge,488.0,64,20 Gigabit
x2gd.12xlarge,768.0,48,20 Gigabit
g5g.xlarge,8.0,4,Up to 10 Gigabit
x2gd.4xlarge,256.0,16,Up to 10 Gigabit
c1.xlarge,7.0,8,High
x2gd.8xlarge,512.0,32,12 Gigabit
p4de.24xlarge,1152.0,96,400 Gigabit
vt1.3xlarge,24.0,12,3125 Megabit
cc2.8xlarge,60.5,32,10 Gigabit
g5g.8xlarge,64.0,32,Up to 12 Gigabit
t2.nano,0.5,1,Low
dl1.24xlarge,768.0,96,400 Gigabit
t1.micro,0.613,1,Very Low
x2gd.xlarge,64.0,4,Up to 10 Gigabit
trn1.32xlarge,512.0,128,800 Gigabit
cr1.8xlarge,244.0,32,10 Gigabit
m2.2xlarge,34.2,4,Moderate
m1.medium,3.75,1,Moderate
i2.large,15.0,2,Moderate
